book_id,title,year,language,city_name_standardized,wikidata_id,latitude,longitude
12163581,Obst-und Trauben-Ausstellung Die Württembergische in Canstatt in Vérbindung mit dem landwirthschaftlichen Feste veranstaltet von der Königl Centralstelle für die Landwirtschaft 1852,1852,ger,Stuttgart,Q1022,48.7775,9.18
11528967,Anneessens,1870,fre,Brussels,Q239,50.846666666666664,4.351666666666667
12021785,The Austin-Topolovampo,1875,eng,Unknown,,,
22169951,La Logica,1880,ita,Turin,Q495,45.079166666666666,7.676111111111111
11677526,Économie politique et sociale,1865,fre,Brussels,Q239,50.846666666666664,4.351666666666667
13672019,Les accidents du travail,1900,fre,Paris,Q90,48.85666666666667,2.352222222222222
11338323,Historisch-romantische tafercelen en dichterlyke schetsen uit de geschiedenis van Belgie,1862,dut,Antwerp,Q12892,51.221111111111114,4.3997222222222225
11484566,Premières leçons de géométrie à l'usage des écoles primaires,1876,fre,Brussels,Q239,50.846666666666664,4.351666666666667
13249372,Mes souvenirs sur Napoléon,1893,fre,Paris,Q90,48.85666666666667,2.352222222222222
11835009,Calculateur général de la solde proprement dite et de la masse d'habillement,1880,fre,Arlon,Q675960,49.683611111111,5.8166666666667
11705027,Les chemins de fer en Belgique,1882,fre,Brussels,Q239,50.846666666666664,4.351666666666667
13431121,La Napoliade,1895,fre,Paris,Q90,48.85666666666667,2.352222222222222
12000506,Recherches sur les épopées romanesques des Troubadours,1833,fre,Paris,Q90,48.85666666666667,2.352222222222222
13621021,Histoire de la constitution de la ville de Louvain au moyen âge,1892,fre,Ghent,Q1296,51.05361111111111,3.725277777777778
12530677,Les traditions indo-asiatiques,1876,fre,Paris,Q90,48.85666666666667,2.352222222222222
22166460,Discours de réception de M.J-B Dumas,1876,fre,Paris,Q90,48.85666666666667,2.352222222222222
22431064,Napoléon III,1898,fre,Paris,Q90,48.85666666666667,2.352222222222222
22318851,Cours de droit civil professé à l'université de Liège,1893,fre,Paris,Q90,48.85666666666667,2.352222222222222
22318851,Cours de droit civil professé à l'université de Liège,1893,fre,Liège,Q3992,50.639722222222225,5.570555555555556
13032985,La France en 1850,1850,fre,Paris,Q90,48.85666666666667,2.352222222222222
11546837,"Etudes sur la vie et les mémoires de Philippe de Commines, Seigneur d'Argenton",1870,fre,Legnica,Q106274,51.21006,16.1619
